date,temperature
9/16/2019,27
9/17/2019,14.6
9/18/2019,17.9
9/19/2019,20.6
9/20/2019,20.6
9/21/2019,23
9/22/2019,22.5
9/23/2019,22.4
9/24/2019,20.7
9/25/2019,21.9
9/26/2019,20.8
9/27/2019,25.3
9/28/2019,21.7
9/29/2019,21.1
9/30/2019,18.6
10/1/2019,19.8
10/2/2019,22
10/3/2019,29.3
10/4/2019,33.5
10/5/2019,19.4
10/6/2019,22.2
10/7/2019,23.9
10/8/2019,24
10/9/2019,19.3
10/10/2019,21.1
10/11/2019,18.3
10/12/2019,20.4
10/13/2019,19.2
10/14/2019,21.9
10/15/2019,24
10/16/2019,23
10/17/2019,28.4
10/18/2019,24.3
10/19/2019,28.7
10/20/2019,22.3
10/21/2019,22.6
10/22/2019,23.7
10/23/2019,24.2
10/24/2019,27.5
10/25/2019,37.2
10/26/2019,31.4
10/27/2019,23.5
10/28/2019,23
10/29/2019,24.5
10/30/2019,26.4
10/31/2019,26
11/1/2019,25.1
11/2/2019,26.7
11/3/2019,30
11/4/2019,24.7
11/5/2019,20.3
11/6/2019,27.7
11/7/2019,31.7
11/8/2019,30.7
11/9/2019,21.9
11/10/2019,25.2
11/11/2019,26.9
11/12/2019,36.5
11/13/2019,24.2
11/14/2019,24.9
11/15/2019,31.1
11/16/2019,22.6
11/17/2019,23.4
11/18/2019,26.2
11/19/2019,32.2
11/20/2019,23.9
11/21/2019,26.6
11/22/2019,25.8
11/23/2019,21.9
11/24/2019,25.3
11/25/2019,28.5
11/26/2019,35.4
11/27/2019,22.5
11/28/2019,24.6
11/29/2019,27.6
11/30/2019,23.6
12/1/2019,22
12/2/2019,23.1
12/3/2019,28.4
12/4/2019,30.6
12/5/2019,34.4
12/6/2019,24.7
12/7/2019,25.1
12/8/2019,24.5
12/9/2019,24.6
12/10/2019,30.1
12/11/2019,24.7
12/12/2019,22.8
12/13/2019,23.4
12/14/2019,26
12/15/2019,26.5
12/16/2019,24.1
12/17/2019,24.1
12/18/2019,26.2
12/19/2019,39.3
12/20/2019,25.9
12/21/2019,28.7
12/22/2019,23.5
12/23/2019,24
12/24/2019,26.9
12/25/2019,26.6
12/26/2019,27.2
12/27/2019,27
12/28/2019,28.7
12/29/2019,26.3
12/30/2019,26.4
12/31/2019,26.1
